source,snippet,metrics
https://www.retaildive.com/news/amazon-prime-day-2025-record-sales/753034/,"Let Retail Dive's free newsletter keep you informed, straight from your inbox.  M-F Every Tuesday Every Wednesday Every Thursday Every Monday By signing up to receive our newsletter, you agree to our Terms of Use and Privacy Policy. You can unsubscri...",{}
https://www.digitalcommerce360.com/article/amazon-prime-day-sales/,Retail Retail B2B B2B Newsletters Newsletters Memberships Memberships Shop Shop Cart Cart Log in Log in Search Enter your keyword and hit 'Enter' Search Enter your keyword and hit 'Enter' News & Analysis News & Analysis Retail Ecommerce News B2B Ecom...,{'sales': 2025.0}
https://www.aboutamazon.in/news/retail/amazon-prime-day-2024-stats,Who We Are Open Item Who We Are Leadership Principles Awards and Recognition Facts About Amazon Open Item Who We Are Leadership Principles Awards and Recognition Facts About Amazon Leadership Principles Awards and Recognition Facts About Amazon Leade...,{'sales': 2.0}
https://www.forbes.com/sites/pamdanziger/2025/07/12/prime-day-summer-sales-event-tops-forecasts-to-reach-241-billion-in-online-sales/,"FeaturedFeaturedBreaking NewsWhite House WatchDaily Cover StoriesAI’s Nuanced Impact And A Quest To Quantify ItDNA of SuccessEmbracing And Bracing For AIFacing A Volatile Market, C-Suites Look To The CFO For Strategic GuidanceForbes Research: 2023 Sm...",{}
https://m.economictimes.com/news/international/global-trends/amazon-prime-day-is-past-its-prime/articleshow/122503486.cms,"25,226.65 30.86 FEATURED FUNDS ★★★ ★★ 20.15 % FEATURED FUNDS ★★★★★ 21.67 % News English Edition English Editionहिन्दीગુજરાતીमराठीবাংলাಕನ್ನಡമലയാളംதமிழ்తెలుగు English Edition | Today's ePaper   More Menu    Agriculture Finance Foreign Trade Indicators ...",{}
https://www.statista.com/topics/5385/amazon-prime-day/,statista.comstatista.esstatista.destatista.fr statista.com statista.com statista.es statista.de statista.fr  Statistics All IndustriesConsumer Goods & FMCGE-CommerceEconomy & PoliticsEnergy & EnvironmentInternetTechnology & TelecommunicationsTranspor...,"{'revenue': 2005.0, 'sales': 2014.0}"
https://tinuiti.com/blog/amazon/amazon-amazon-prime-day-2024-results/,Select to go back home Our Services Back By Channel Our Services Overview Commerce Amazon Commerce Media Commerce Operations TV & Audio Streaming Linear TV Online Video Audio More Affiliate Creative CRO Display & OOH Email & SMS Influencer Search Pai...,{}
https://www.vml.com/insight/amazon-prime-day-2024-record-revenue-innovations-and-competition,"   Author James Galland, Global Head of Commerce Capabilities, VML “Amazon’s biggest Prime Day shopping event ever” – that was the press release headline with the stats to back it up. In its 10th year, Prime Day notched up its strongest growth rate s...",{'revenue': 14.2}
