source,snippet,metrics
https://www.ibef.org/industry/electric-vehicle,Home About us Annual ReportsBoard of TrusteesCareersTenders Annual Reports Board of Trustees Careers Tenders Indian Economy Domestic InvestmentsEconomic Survey 2024-25Foreign Direct InvestmentForeign Institutional InvestorsForeign Trade Policy 2023Go...,{'sales': 20.0}
https://jmkresearch.com/indias-electric-vehicle-sales-crossed-2-million-in-cy2024/,RE subscription RE subscription RE subscription EV subscription EV subscription EV subscription Databases Login Databases Login Databases Login JMK Research & Analytics   About Us About UsOur TeamMedia CoverageContact UsCareers  About Us Our Team Med...,{'sales': 2.0}
https://www.autocarpro.in/analysis-sales/ev-sales-in-cy2024-jump-27-but-miss-2-million-mark-by-50886-units-124229,SEGMENTS INDUSTRY PASSENGER VEHICLES AUTO COMPONENTS COMMERCIAL VEHICLES THREE WHEELERS TWO WHEELERS AUTO TECHNOLOGY EV BUDGET 2024 INDUSTRY PASSENGER VEHICLES AUTO COMPONENTS COMMERCIAL VEHICLES THREE WHEELERS TWO WHEELERS AUTO TECHNOLOGY EV BUDGET ...,{'sales': 2024.0}
https://m.economictimes.com/industry/renewables/electric-car-sales-in-india-jump-20-in-2024-tata-motors-retains-top-spot/articleshow/117045559.cms,"25,212.05 16.25 FEATURED FUNDS ★★★ ★★ 20.15 % FEATURED FUNDS ★★★★★ 21.67 % Industry English Edition English Editionहिन्दीગુજરાતીमराठीবাংলাಕನ್ನಡമലയാളംதமிழ்తెలుగు English Edition | Today's ePaper   More Menu    Auto News Cars & UVs Two wheelers & three...","{'sales': 20.0, 'income': 97.0}"
https://jmkresearch.com/electric-vehicles-published-reports/annual-india-ev-report-card-fy2024/,RE subscription RE subscription RE subscription EV subscription EV subscription EV subscription Databases Login Databases Login Databases Login JMK Research & Analytics   About Us About UsOur TeamMedia CoverageContact UsCareers  About Us Our Team Med...,{'sales': 1.7}
https://www.fortunebusinessinsights.com/india-electric-vehicle-market-106623, HOME (current)  (current) INDUSTRIES Healthcare Chemicals & Materials Information & Technology Machinery & Equipment Energy & Power Semiconductor & Electronics COVID-19 Analysis Aerospace & Defense Automotive & Transportation Food & Beverages Agricu...,{'sales': 2023.0}
