source,snippet,metrics
https://press.aboutamazon.com/2024/7/amazon-announces-record-breaking-sales-for-2024-prime-day-event,About Us Open Item About Us Amazon Leadership Principles Our Positions Awards and Recognition Facts About Amazon Open Item About Us Amazon Leadership Principles Our Positions Awards and Recognition Facts About Amazon Amazon Leadership Principles Our ...,{}
https://www.usatoday.com/story/money/2025/07/12/amazon-prime-day-2025-record-sales/84815789007/,"Amazon stretched out its annual Prime Day sales event so that it lasted four days – twice as long as in the past – and, as a result, blew away previous sales figures. The online retailing powerhouse – and tech giant – said Prime Day 2025, which ran f...",{'sales': 2025.0}
https://m.economictimes.com/news/international/global-trends/amazon-prime-day-is-past-its-prime/articleshow/122503486.cms,"25,226.65 30.86 FEATURED FUNDS ★★★ ★★ 20.15 % FEATURED FUNDS ★★★★★ 21.67 % News English Edition English Editionहिन्दीગુજરાતીमराठीবাংলাಕನ್ನಡമലയാളംதமிழ்తెలుగు English Edition | Today's ePaper   More Menu    Agriculture Finance Foreign Trade Indicators ...",{}
https://www.aboutamazon.in/news/retail/amazon-prime-day-2024-stats,Who We Are Open Item Who We Are Leadership Principles Awards and Recognition Facts About Amazon Open Item Who We Are Leadership Principles Awards and Recognition Facts About Amazon Leadership Principles Awards and Recognition Facts About Amazon Leade...,{'sales': 2.0}
https://www.retaildive.com/news/amazon-prime-day-2025-record-sales/753034/,"Let Retail Dive's free newsletter keep you informed, straight from your inbox.  M-F Every Tuesday Every Wednesday Every Thursday Every Monday By signing up to receive our newsletter, you agree to our Terms of Use and Privacy Policy. You can unsubscri...",{}
https://backlinko.com/amazon-prime-users,"ArticlesArticlesPopularSEO FundamentalsContent MarketingLink BuildingMarketingWhat Is SEO?For people that are new to search engine optimization.SEO ChecklistCovers technical SEO, On-page SEO, and keyword research.SEO Audit Checklist18-step guide to g...",{'revenue': 2023.0}
https://www.vml.com/insight/amazon-prime-day-2024-record-revenue-innovations-and-competition,"   Author James Galland, Global Head of Commerce Capabilities, VML “Amazon’s biggest Prime Day shopping event ever” – that was the press release headline with the stats to back it up. In its 10th year, Prime Day notched up its strongest growth rate s...",{'revenue': 14.2}
